ID,name_of_agent,longitude,latitude,time_of_measure,NO2_concentration,O3_concentration,PM10_concentration,PM25_concentration
134,worker[145],903684.3914232012,6246393.736897352,date ('2021-05-27 07:56:10'),60.48250009748671,41.12777777777778,34.68694446881612,11.916944432258607
135,worker[145],903706.8159331582,6246386.713467947,date ('2021-05-27 07:56:15'),69.95000004768372,41.13125,34.89375066757202,12.018750369548798
136,worker[145],903730.2181554951,6246383.579691058,date ('2021-05-27 07:56:20'),57.20500062306722,41.12833333333333,32.606668122609456,11.32666629685296
137,worker[145],903753.6203778322,6246380.445914169,date ('2021-05-27 07:56:25'),67.98041662110222,41.125416666666666,34.80735972192552,11.922361099720002
138,worker[145],903777.0226001693,6246377.312137281,date ('2021-05-27 07:56:30'),65.81000296274821,41.1225,34.42000069618225,11.824166329701741
139,worker[145],903800.4299441663,6246374.217230107,date ('2021-05-27 07:56:35'),88.51916531456841,41.11958333333333,43.58111250665453,14.01458371480306
140,worker[145],903823.8451667741,6246371.182115919,date ('2021-05-27 07:56:40'),115.65555826822917,41.11666666666667,66.37222501966689,18.38888888888889
141,worker[145],903847.2603893819,6246368.147001732,date ('2021-05-27 07:56:45'),69.42875148455302,41.11375,36.43458401362101,12.324166305859883
142,worker[145],903870.7661348362,6246366.215401442,date ('2021-05-27 07:56:50'),63.967223707834876,41.11083333333333,35.6413903342353,12.131388688087464
143,worker[145],903894.3629555725,6246365.394049485,date ('2021-05-27 07:56:55'),60.994029225243466,41.10791666666667,34.84819303618537,11.933194434642791
144,worker[145],903917.8074384027,6246362.610043972,date ('2021-05-27 07:57:00'),59.209998512268065,41.105,33.859998512268064,11.634999799728394
145,worker[145],903941.2534774498,6246359.823338576,date ('2021-05-27 07:57:05'),56.72083184454176,41.10208333333333,32.17152926656935,11.241666866673363
146,worker[145],903964.7052270898,6246357.084724561,date ('2021-05-27 07:57:10'),59.33638961580065,41.09916666666667,32.8780540837182,11.443333342340257
147,worker[145],903988.147893172,6246354.27294561,date ('2021-05-27 07:57:15'),59.64250003496806,41.09625,32.88458185990652,11.445000008742014
148,worker[145],904011.5593095464,6246351.208610241,date ('2021-05-27 07:57:20'),59.65333336724176,41.093333333333334,32.89110963609483,11.446666675143772
149,worker[145],904034.9707259206,6246348.144274873,date ('2021-05-27 07:57:25'),59.468471426433986,41.09041666666667,32.89763741228315,11.44833334154553
150,worker[145],904058.3820890611,6246345.079532937,date ('2021-05-27 07:57:30'),60.175000031789146,41.0875,33.300000031789146,11.550000349680582
151,worker[145],904081.7932394807,6246342.013166368,date ('2021-05-27 07:57:35'),61.48180488480462,41.18055555555556,33.306666697396174,11.551667017406887
152,worker[145],904105.2043899003,6246338.9467998,date ('2021-05-27 07:57:40'),58.804442977905275,41.17777777777778,32.81722219255236,11.4533333407508
153,worker[145],904126.8291016112,6246330.904193756,date ('2021-05-27 07:57:45'),68.98125290870667,41.17875,33.82374997138977,11.651249802112579
154,worker[145],904138.3388652736,6246312.158576409,date ('2021-05-27 07:57:50'),62.3111095852322,41.17583333333334,32.63027705616421,11.35305520163642
155,worker[145],904139.0982955333,6246288.568705707,date ('2021-05-27 07:57:55'),62.322220696343315,41.172916666666666,32.63680483235253,11.354860756132338
156,worker[145],904140.3001680094,6246264.988203794,date ('2021-05-27 07:58:00'),57.03999926249186,41.17,31.343333307902018,11.056667041778564
157,worker[145],904141.5020404853,6246241.407701882,date ('2021-05-27 07:58:05'),58.057221508026124,41.16708333333334,31.453055924839443,11.05847259759903
158,worker[145],904142.7039129612,6246217.8271999685,date ('2021-05-27 07:58:10'),60.46472296184964,41.16416666666667,32.059445195727875,11.260277962684631
159,worker[145],904144.1833581023,6246194.269436475,date ('2021-05-27 07:58:15'),67.55791962941487,41.16125,34.15999925931295,11.762083518505097
160,worker[145],904145.2369183827,6246170.681842731,date ('2021-05-27 07:58:20'),88.32499843173557,41.06111111111111,39.85555553436279,13.15833314259847
161,worker[145],904146.2906255249,6246147.094255575,date ('2021-05-27 07:58:25'),84.64666823281182,41.058055555555555,37.06805631849501,12.463055565622117
162,worker[145],904145.71446022,6246123.548693273,date ('2021-05-27 07:58:30'),80.86499843597412,41.055,34.97999849319458,12.067500376701355
163,worker[145],904146.34237464,6246099.9459330235,date ('2021-05-27 07:58:35'),73.4922192785475,41.051944444444445,33.78902928564283,11.66930536031723
164,worker[145],904147.4046457064,6246076.361453952,date ('2021-05-27 07:58:40'),71.20889036390517,41.04888888888889,33.59333407084147,11.57333369784885
165,worker[145],904148.7622220616,6246052.789403674,date ('2021-05-27 07:58:45'),70.92083183924358,41.045833333333334,33.600000739097595,11.575000365575155
166,worker[145],904150.119798417,6246029.217353395,date ('2021-05-27 07:58:50'),71.93083186679416,41.04277777777778,33.80861262215508,11.674722027778625
167,worker[145],904151.4773747723,6246005.645303116,date ('2021-05-27 07:58:55'),76.33569447199504,41.039722222222224,36.31152927610609,12.274722402625613
168,worker[145],904161.4819897554,6245988.772824708,date ('2021-05-27 07:59:00'),76.34833335876465,41.03666666666667,36.31833483378092,12.276666847864787
169,worker[145],904180.9588218227,6245984.869671698,date ('2021-05-27 07:59:05'),65.8747222105662,41.033611111111114,32.32819595866733,11.281666860315536
170,worker[145],904204.4193323791,6245987.530861169,date ('2021-05-27 07:59:10'),57.391666677263046,41.03055555555556,31.336110724343193,11.081944823265076
171,worker[145],904220.2154179544,6245976.842192217,date ('2021-05-27 07:59:15'),68.39499998092651,41.0275,32.541248488426206,11.283750188350677
172,worker[145],904222.8809612253,6245953.4290069435,date ('2021-05-27 07:59:20'),68.70666970147028,41.123333333333335,32.64888964758979,11.386666287316217
173,worker[145],904224.0997132895,6245929.858799271,date ('2021-05-27 07:59:25'),71.31639039251539,41.12041666666667,33.95430554813809,11.68736091852188
174,worker[145],904224.7831082249,6245906.2575802505,date ('2021-05-27 07:59:30'),71.92833334604899,41.11833333333333,34.360001516342166,11.790000192324321
175,worker[145],904226.0335969437,6245882.679977907,date ('2021-05-27 07:59:35'),84.03333181805081,41.11527777777778,37.96527777777778,12.690277589692009
176,worker[145],904227.3112728628,6245859.103461791,date ('2021-05-27 07:59:40'),74.95,41.11222222222222,35.772777016957605,12.192777585983276
177,worker[145],904228.5893215891,6245835.5269658975,date ('2021-05-27 07:59:45'),78.6616636276245,41.10916666666667,36.77916590372721,12.394166286786398
178,worker[145],904229.8693063759,6245811.950575019,date ('2021-05-27 07:59:50'),77.37472375233968,41.10611111111111,36.78611034817166,12.396110730701023
179,worker[145],904231.1492911626,6245788.374184141,date ('2021-05-27 07:59:55'),77.3873626391093,41.10305555555556,36.793054792616104,12.398055174615648
180,worker[145],904229.1415949477,6245764.913038193,date ('2021-05-27 08:00:00'),66.19999694824219,41.1,33.599998474121094,11.600000381469727
