ID,name_of_agent,longitude,latitude,time_of_measure,NO2_concentration,predicted_NO2_concentration,O3_concentration,predicted_O3_concentration,PM10_concentration,predicted_PM10_concentration,PM25_concentration,predicted_PM25_concentration
58,worker[145],902636.3741725587,6246996.963741338,date ('2021-05-27 07:49:50'),40.52750113805135,-27.70137364284481,41.53722222222222,0.0,29.58666641447279,0.0,10.496666508250767,0.0
59,worker[145],902622.9726834901,6246987.0552667575,date ('2021-05-27 07:49:55'),41.42194355328878,-50.080522871711,41.53527777777778,0.0,29.676527841885886,0.0,10.498333174652524,0.0
60,worker[145],902607.2439995485,6246981.696353586,date ('2021-05-27 07:50:00'),49.65000089009603,-80.7188315712852,41.53333333333333,0.0,30.700000127156574,0.0,10.883333683013916,0.0
61,worker[145],902592.2984189031,6246974.4343253905,date ('2021-05-27 07:50:05'),49.66291755570306,-67.69737819009545,41.531388888888884,0.0,30.706666792763606,0.0,10.88513923883438,0.0
62,worker[145],902577.4722521765,6246966.821010871,date ('2021-05-27 07:50:10'),72.9774982240465,-55.959864947279286,41.529444444444444,0.0,35.46416615380181,0.0,12.086944603919983,0.0
63,worker[145],902565.6227599733,6246955.228279261,date ('2021-05-27 07:50:15'),74.2750015258789,-8.725014790134582,41.527499999999996,0.0,35.07125115394592,0.0,12.072500097751618,0.0
64,worker[145],902551.4440273397,6246947.8952235775,date ('2021-05-27 07:50:20'),87.42777472601996,6.128835755485764,41.525555555555556,0.0,39.429999605814615,0.0,13.058333524068196,0.0
65,worker[145],902541.7370154103,6246934.675906123,date ('2021-05-27 07:50:25'),77.85486062367757,6.917931099584967,41.52361111111111,0.0,35.485416147443985,0.0,12.176388568348354,0.0
66,worker[145],902532.6944393925,6246912.944317325,date ('2021-05-27 07:50:30'),82.90583229064941,-26.73799387832774,41.52166666666666,0.0,39.34500052134196,0.0,13.062500190734863,0.0
67,worker[145],902519.1113679486,6246893.702966506,date ('2021-05-27 07:50:35'),76.19916899998982,-14.01639161824991,41.51972222222222,0.0,35.39958403640323,0.0,12.180277456177606,0.0
68,worker[145],902504.1180162899,6246875.496615981,date ('2021-05-27 07:50:40'),63.79999754163954,-14.01016069714884,41.51777777777777,0.0,33.43777830335829,0.0,11.597777938842773,0.0
69,worker[145],902489.8314158446,6246856.706272948,date ('2021-05-27 07:50:45'),55.87416707674662,-0.5089780245523157,41.51583333333333,0.0,32.044582629203795,0.0,11.299583303928376,0.0
70,worker[145],902475.5957695505,6246837.875022969,date ('2021-05-27 07:50:50'),58.40138965182834,17.24926612740529,41.513888888888886,0.0,32.85138771269057,0.0,11.501388669013977,0.0
71,worker[145],902461.7437981435,6246818.754158553,date ('2021-05-27 07:50:55'),54.4131952073839,19.88867758922471,41.511944444444445,0.0,32.35819326506721,0.0,11.303194415569305,0.0
72,worker[145],902447.7283439019,6246799.753401511,date ('2021-05-27 07:51:00'),61.4649995803833,-11.7023332944792,41.51,0.0,33.45000076293945,0.0,11.605000162124634,0.0
73,worker[145],902433.4028333618,6246781.015733504,date ('2021-05-27 07:51:05'),61.09222329457601,8.010342296129636,41.50805555555555,0.0,33.456945207383896,0.0,11.606805717945099,0.0
74,worker[145],902421.6102998257,6246760.6094496185,date ('2021-05-27 07:51:10'),60.50444379382663,22.430257629344627,41.50611111111111,0.0,33.36388764381409,0.0,11.608611273765565,0.0
75,worker[145],902414.3726297526,6246738.17630325,date ('2021-05-27 07:51:15'),60.51666601498922,-22.378140376271507,41.50416666666666,0.0,33.370832085609436,0.0,11.610416829586029,0.0
76,worker[145],902413.256234595,6246714.842266216,date ('2021-05-27 07:51:20'),56.728888999091254,-61.456199640475944,41.50222222222222,0.0,32.492222764756946,0.0,11.412222576141357,0.0
77,worker[145],902418.1609501301,6246691.808711183,date ('2021-05-27 07:51:25'),56.841109694374936,-72.07922360683511,41.500277777777775,0.0,32.484722985161675,0.0,11.414028131961823,0.0
78,worker[145],902430.0262098755,6246671.585028781,date ('2021-05-27 07:51:30'),63.810832023620605,-6.693081581738909,41.498333333333335,0.0,33.891665410995486,0.0,11.715833059946696,0.0
79,worker[145],902445.3321036081,6246653.6404985655,date ('2021-05-27 07:51:35'),81.41305729548137,23.405507527632736,41.49638888888889,0.0,37.25652788480123,0.0,12.603611221578387,0.0
80,worker[145],902465.6028443681,6246642.829734134,date ('2021-05-27 07:51:40'),69.86666382683649,35.36476759089362,41.49444444444444,0.0,35.29166661368476,0.0,12.105555666817558,0.0
81,worker[145],902488.4857676032,6246637.01600071,date ('2021-05-27 07:51:45'),75.61125020980835,27.75607241309932,41.506249999999994,0.0,36.68500142097473,0.0,12.407500302791595,0.0
82,worker[145],902511.0783514922,6246640.465572135,date ('2021-05-27 07:51:50'),64.84777666727702,55.76717275306265,41.49055555555555,0.0,34.605832778082956,0.0,11.923055911064148,0.0
83,worker[145],902533.2809926044,6246640.414557802,date ('2021-05-27 07:51:55'),66.44708089828491,63.81804819664622,41.50208333333333,0.0,34.91291534635756,0.0,11.924861466884613,0.0
84,worker[145],902548.2527763029,6246623.000498616,date ('2021-05-27 07:52:00'),78.51333465576172,23.390720804608826,41.5,0.0,37.493334197998045,0.0,12.613333447774252,0.0
85,worker[145],902570.7564192056,6246615.875797995,date ('2021-05-27 07:52:05'),64.7993057568868,-60.34200699861296,41.49791666666666,0.0,34.82708328300052,0.0,11.928472578525543,0.0
86,worker[145],902593.1357773374,6246608.36944313,date ('2021-05-27 07:52:10'),73.60750132666693,-162.65936791640382,41.40888888888889,0.0,36.03416737980313,0.0,12.317222272025214,0.0
87,worker[145],902614.8107831596,6246599.120592456,date ('2021-05-27 07:52:15'),69.7600001970927,-219.30809619143406,41.406666666666666,0.0,35.84124995072683,0.0,12.13208349943161,0.0
88,worker[145],902636.042481335,6246588.793381247,date ('2021-05-27 07:52:20'),69.77333352830675,-145.37585672749873,41.404444444444444,0.0,35.84833328458998,0.0,12.133889055252075,0.0
89,worker[145],902657.2339121319,6246578.384377065,date ('2021-05-27 07:52:25'),77.32347088919745,-62.099947809990724,41.40222222222222,0.0,35.855416618453134,0.0,12.135694611072541,0.0
90,worker[145],902678.1117779231,6246567.374428877,date ('2021-05-27 07:52:30'),72.78750038146973,-24.115976754698906,41.400000000000006,0.0,35.46249866485596,0.0,12.137500166893005,0.0
91,worker[145],902698.823018704,6246556.0373625355,date ('2021-05-27 07:52:35'),80.5268082300822,-11.522308623339915,41.39777777777778,0.0,36.86958352194892,0.0,12.526944300863478,0.0
92,worker[145],902719.5187733864,6246544.672056925,date ('2021-05-27 07:52:40'),79.25333370632596,-2.0415369136269272,41.39555555555556,0.0,36.476665327284074,0.0,12.4288892004225,0.0
93,worker[145],902740.2125216766,6246533.303092609,date ('2021-05-27 07:52:45'),81.8312484741211,-15.777981462455967,41.39333333333334,0.0,37.47166550954183,0.0,12.630833454926808,0.0
94,worker[145],902761.0562299722,6246522.230758864,date ('2021-05-27 07:52:50'),81.84583180745443,-40.4010771031473,41.391111111111115,0.0,37.478887727525496,0.0,12.632777900165982,0.0
95,worker[145],902783.5825071724,6246515.26676441,date ('2021-05-27 07:52:55'),79.58403046925862,-113.08367643460714,41.38888888888889,0.0,37.286112546920776,0.0,12.634722345405155,0.0
96,worker[145],902806.5471296295,6246509.77944418,date ('2021-05-27 07:53:00'),88.71666666666667,-127.44737610072582,41.29833333333333,0.0,40.55833409627279,0.0,13.325,0.0
97,worker[145],902829.5117520867,6246504.292123951,date ('2021-05-27 07:53:05'),82.00110876295301,-154.84216047749632,41.295972222222225,0.0,38.88902786572774,0.0,12.938611426618364,0.0
98,worker[145],902852.476374544,6246498.804803722,date ('2021-05-27 07:53:10'),76.66111416286893,-146.3910865621356,41.305,0.0,37.40777769088745,0.0,12.640555681122674,0.0
99,worker[145],902875.4409970011,6246493.317483493,date ('2021-05-27 07:53:15'),71.82000126838685,-121.0704676319404,41.3025,0.0,36.42624995708466,0.0,12.44250031709671,0.0
100,worker[145],902898.5117899888,6246488.31561431,date ('2021-05-27 07:53:20'),75.70000288221571,-132.09040230486684,41.300000000000004,0.0,37.42222213745117,0.0,12.64444457160102,0.0
101,worker[145],902921.6910134606,6246483.820661143,date ('2021-05-27 07:53:25'),85.93694308598836,-106.85110505898278,41.2975,0.0,41.00749872525533,0.0,13.435417048136394,0.0
102,worker[145],902944.7945961389,6246478.966581418,date ('2021-05-27 07:53:30'),81.29500102996826,-51.620148097528244,41.295,0.0,39.92583341598511,0.0,13.237499618530274,0.0
103,worker[145],902967.8394187586,6246473.828401953,date ('2021-05-27 07:53:35'),75.8519456439548,-25.52497537859671,41.292500000000004,0.0,38.34389033317566,0.0,12.850277818573845,0.0
104,worker[145],902990.9393199158,6246468.941773828,date ('2021-05-27 07:53:40'),69.62888768513997,7.683447074192579,41.29,0.0,36.66166718800863,0.0,12.452222543292576,0.0
105,worker[145],903014.039221073,6246464.055145703,date ('2021-05-27 07:53:45'),60.72499871253967,22.117878453722515,41.197916666666664,0.0,34.58958204587301,0.0,11.864583313465118,0.0
106,worker[145],903037.1391222302,6246459.168517578,date ('2021-05-27 07:53:50'),85.12083028157552,30.081504606685904,41.195277777777775,0.0,40.944999843173555,0.0,13.44583371480306,0.0
107,worker[145],903060.2390233874,6246454.2818894535,date ('2021-05-27 07:53:55'),88.91513919830322,33.9864742158304,41.19263888888889,0.0,41.052498706181844,0.0,13.447917048136393,0.0
108,worker[145],903083.4018580659,6246449.720088885,date ('2021-05-27 07:54:00'),81.57999877929687,45.24412395107617,41.19,0.0,39.47000007629394,0.0,13.05999984741211,0.0
109,worker[145],903106.6721142407,6246445.723806529,date ('2021-05-27 07:54:05'),80.00402792824639,53.4359587277759,41.18736111111111,0.0,39.17736194928487,0.0,12.96194476948844,0.0
110,worker[145],903130.167805986,6246443.5210165465,date ('2021-05-27 07:54:10'),76.64722114139133,64.91616792737575,41.18472222222222,0.0,38.69444513320923,0.0,12.863888925976223,0.0
111,worker[145],903153.7303873231,6246442.54951688,date ('2021-05-27 07:54:15'),74.67999862035116,40.60247103662826,41.18208333333333,0.0,37.50166659355163,0.0,12.665833469231924,0.0
112,worker[145],903177.3016006169,6246443.616148951,date ('2021-05-27 07:54:20'),75.09333347744412,46.20102276540491,41.17944444444444,0.0,38.308888053894044,0.0,12.867777813805475,0.0
113,worker[145],903200.7607709824,6246446.2817176115,date ('2021-05-27 07:54:25'),77.58805527157254,44.40594012131471,41.17680555555555,0.0,38.516111040115355,0.0,12.869722257720099,0.0
114,worker[145],903224.1998259502,6246449.12684457,date ('2021-05-27 07:54:30'),81.37416915893554,21.162759234827007,41.174166666666665,0.0,39.02333326339722,0.0,12.971666995684306,0.0
115,worker[145],903247.640221277,6246451.960999616,date ('2021-05-27 07:54:35'),82.3791693051656,23.128340478345848,41.171527777777776,0.0,38.93055701255798,0.0,12.973611440923479,0.0
116,worker[145],903271.0806166038,6246454.795154663,date ('2021-05-27 07:54:40'),77.52889014350043,3.036730826418945,41.17777777777778,0.0,37.446667989095054,0.0,12.67555569542779,0.0
117,worker[145],903294.5210119305,6246457.629309709,date ('2021-05-27 07:54:45'),76.5512511253357,-29.178566932760937,41.175,0.0,36.75375056266785,0.0,12.3775000333786,0.0
118,worker[145],903318.1274544566,6246458.044749493,date ('2021-05-27 07:54:50'),78.45611390007866,-21.66489236592118,41.172222222222224,0.0,36.960834662119545,0.0,12.48805592060089,0.0
119,worker[145],903341.701634901,6246456.724679692,date ('2021-05-27 07:54:55'),78.5781955824958,-1.1062612311999986,41.169444444444444,0.0,37.067916795942516,0.0,12.489861476421357,0.0
120,worker[145],903365.2758153453,6246455.404609892,date ('2021-05-27 07:55:00'),77.99166933695476,0.17255740377744289,41.166666666666664,0.0,37.17499860127767,0.0,12.483333667119345,0.0
121,worker[145],903388.8499957897,6246454.0845400905,date ('2021-05-27 07:55:05'),79.20513913896349,-7.272936082466206,41.16388888888889,0.0,37.87388806343078,0.0,12.785277427567376,0.0
122,worker[145],903412.4171775542,6246452.646513037,date ('2021-05-27 07:55:10'),79.21861135694715,28.965797580538002,41.16111111111111,0.0,37.88111028671265,0.0,12.787221871482002,0.0
123,worker[145],903435.6806597437,6246448.914548114,date ('2021-05-27 07:55:15'),81.61625140508016,52.30357982666421,41.15833333333333,0.0,38.888332509994505,0.0,12.989167002836863,0.0
124,worker[145],903458.4256066151,6246442.596964581,date ('2021-05-27 07:55:20'),73.77666642930772,42.23385887123656,41.15555555555556,0.0,37.103333452012805,0.0,12.491111448076037,0.0
125,worker[145],903481.1360464558,6246441.402663357,date ('2021-05-27 07:55:25'),64.45069291856554,44.323779000333914,41.15277777777778,0.0,35.31805631849501,0.0,12.100694239139557,0.0
126,worker[145],903499.0915876257,6246427.99518487,date ('2021-05-27 07:55:30'),79.26499977111817,27.106282234888482,41.15,0.0,37.909999179840085,0.0,12.794999647140504,0.0
127,worker[145],903521.5453442569,6246420.728525754,date ('2021-05-27 07:55:35'),74.51541395187378,-4.670238751049014,41.147222222222226,0.0,36.924582682715524,0.0,12.396944472524854,0.0
128,worker[145],903544.5506329231,6246415.447821344,date ('2021-05-27 07:55:40'),62.99333197275797,-28.978661261495127,41.144444444444446,0.0,35.04611252678765,0.0,12.006111478805542,0.0
129,worker[145],903567.932520982,6246412.165767306,date ('2021-05-27 07:55:45'),76.43416503270467,-9.657561808753035,41.141666666666666,0.0,38.03166813850403,0.0,12.80083297888438,0.0
130,worker[145],903591.3144090408,6246408.88371327,date ('2021-05-27 07:55:50'),71.07499721315172,15.175509841787207,41.138888888888886,0.0,38.13888883590698,0.0,12.802777422799004,0.0
131,worker[145],903614.6962970997,6246405.601659232,date ('2021-05-27 07:55:55'),73.07388604482014,2.427970933260947,41.13611111111111,0.0,42.52569597032335,0.0,13.79791628519694,0.0
132,worker[145],903638.0781851585,6246402.319605194,date ('2021-05-27 07:56:00'),120.3066650390625,-35.741509933088835,41.13333333333333,0.0,72.13333028157552,0.0,19.359999974568684,0.0
133,worker[145],903661.2683024908,6246397.886871366,date ('2021-05-27 07:56:05'),120.32319281895955,-35.10692906137859,41.13055555555555,0.0,72.14513583713108,0.0,19.36291664176517,0.0
134,worker[145],903684.3914232012,6246393.736897352,date ('2021-05-27 07:56:10'),60.48250009748671,-0.6265370132451048,41.12777777777778,0.0,34.68694446881612,0.0,11.916944432258607,0.0
135,worker[145],903706.8159331582,6246386.713467947,date ('2021-05-27 07:56:15'),69.95000004768372,3.0263999551932415,41.13125,0.0,34.89375066757202,0.0,12.018750369548798,0.0
136,worker[145],903730.2181554951,6246383.579691058,date ('2021-05-27 07:56:20'),57.20500062306722,-16.648342687225266,41.12833333333333,0.0,32.606668122609456,0.0,11.32666629685296,0.0
137,worker[145],903753.6203778322,6246380.445914169,date ('2021-05-27 07:56:25'),67.98041662110222,-51.43412850525693,41.125416666666666,0.0,34.80735972192552,0.0,11.922361099720002,0.0
